| ItemSkippedException           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:44:11:44:30           | FileItemStream         |
| FileItemStreamImpl             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:548:15:548:32         | FileItemIteratorImpl   |
| FileItemIteratorImpl           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:545:19:545:38         | FileUploadBase         |
| FileSizeLimitExceededException | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:902:25:902:54         | FileUploadBase         |
| FileUploadIOException          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:702:25:702:45         | FileUploadBase         |
| IOFileUploadException          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:761:25:761:45         | FileUploadBase         |
| InvalidContentTypeException    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:734:25:734:51         | FileUploadBase         |
| SizeException                  | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:795:37:795:49         | FileUploadBase         |
| SizeLimitExceededException     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:866:25:866:50         | FileUploadBase         |
| UnknownSizeException           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:848:25:848:44         | FileUploadBase         |
| MyServletInputStream           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/test/java/org/apache/commons/fileupload/MockHttpServletRequest.java:453:26:453:45 | MockHttpServletRequest |
| IllegalBoundaryException       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:606:25:606:48        | MultipartStream        |
| ItemInputStream                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:624:18:624:32        | MultipartStream        |
| MalformedStreamException       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:588:25:588:48        | MultipartStream        |
| ProgressNotifier               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/MultipartStream.java:82:25:82:40          | MultipartStream        |
| ProgressListenerImpl           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/test/java/org/apache/commons/fileupload/ProgressListenerTest.java:27:19:27:38     | ProgressListenerTest   |
