| CreditCardType | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:184:22:184:35          | matches   | matches(String)   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:196:17:196:23          | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/CreditCardValidator.java:196:17:196:23          |
| CheckDigit     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:45:18:45:27 | isValid   | isValid(String)   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:63:13:63:19 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:63:13:63:19 |
| CheckDigit     | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:45:18:45:27 | calculate | calculate(String) | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:55:12:55:20 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/routines/checkdigit/CheckDigit.java:55:12:55:20 |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | toString                                       | toString()                                                                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:177:19:177:26                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:177:30:193:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | setResource                                    | setResource(boolean)                                                                         | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:167:17:167:27                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:167:47:169:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | setPosition                                    | setPosition(int)                                                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:158:17:158:27                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:158:43:160:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | setName                                        | setName(String)                                                                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:149:17:149:23                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:149:38:151:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | setKey                                         | setKey(String)                                                                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:140:17:140:22                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:140:36:142:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | setBundle                                      | setBundle(String)                                                                            | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:131:17:131:25                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:131:42:133:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | isResource                                     | isResource()                                                                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:121:20:121:29                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:121:33:123:5                                              |
| Arg                                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:33:14:33:16                                               | getPosition                                    | getPosition()                                                                                | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:112:16:112:26                                             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-validator/src/main/java/org/apache/commons/validator/Arg.java:112:30:114:5                                              |
