| subSequence                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:32:25:32:35                                    | subSequence                | file:///9A/java.base/java/lang/CharSequence.sig:0:0:0:0                                                                                                        | CharSequence                               |
| charAt                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:27:17:27:22                                    | charAt                     | file:///9A/java.base/java/lang/CharSequence.sig:0:0:0:0                                                                                                        | CharSequence                               |
| length                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/AltCharSequence.java:22:16:22:21                                    | length                     | file:///9A/java.base/java/lang/CharSequence.sig:0:0:0:0                                                                                                        | CharSequence                               |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:272:19:272:26                 | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| findConverter              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/AnnotationStringConverterFactory.java:44:31:44:43                   | findConverter              | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/StringConverterFactory.java:35:24:35:36 | StringConverterFactory                     |
| getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/ConstructorFromStringConverter.java:75:21:75:36                     | getEffectiveType           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/TypedFromStringConverter.class:0:0:0:0 | TypedFromStringConverter<T>                |
| convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/main/java/org/joda/convert/ConstructorFromStringConverter.java:59:14:59:30                     | convertFromString          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/target/classes/org/joda/convert/FromStringConverter.class:0:0:0:0      | FromStringConverter<T>                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameter.java:42:19:42:26      | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringConstructorInvalidParameterCount.java:42:19:42:26 | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringException.java:41:19:41:26                        | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameter.java:39:19:39:26                 | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidParameterCount.java:39:19:39:26            | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringInvalidReturnType.java:39:19:39:26                | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| toString                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:51:19:51:26                       | toString                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| hashCode                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:46:16:46:23                       | hashCode                   | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
| equals                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/joda-convert/src/test/java/org/joda/convert/DistanceFromStringNoToString.java:40:20:40:25                       | equals                     | file:///9A/java.base/java/lang/Object.sig:0:0:0:0                                                                                                              | Object                                     |
