| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:782:13:802:25                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | CSVFormat                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:1317:12:1317:20              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:834:13:834:97                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | build                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:250:26:250:30                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:834:13:834:89                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setAllowMissingColumnNames    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:283:24:283:49                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:834:13:834:56                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setIgnoreEmptyLines           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:528:24:528:42                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:834:13:834:29                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | builder                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:1425:20:1425:26              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:864:28                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | build                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:250:26:250:30                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:863:44                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setRecordSeparator0           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:625:24:625:42                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:862:49                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setQuote1                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:597:24:597:32                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:861:42                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setEscape0                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:378:24:378:33                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:860:40                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | setDelimiter0                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:337:24:337:36                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:859:13:859:29                  | <clinit>                                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:157:20:157:28                  | builder                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:1425:20:1425:26              |
